video_id,video,caption,source,category,url,start time,end time,id,clip_path
video6739,video6739.mp4,"['a clip of young woman singing on a stage'
 'a group of women are singing a song'
 'a group of women is performing a song live'
 'a group of women singing on stage' 'a video of five women singing live'
 'an all girl band sings on a live tv show'
 'five female vocalists perform live'
 'five ladies perform a song for a tv show'
 'five women singing live on a show while sitting down'
 'five women sitting in stools sing a song on a show'
 'girls on the access show singing'
 'group singing on access live television show'
 'ladies singing and dancing' 'on a television show a musical group sings'
 'this is a video of girls perfoming live in a show'
 'woman sitting and singing' 'women are singing a song'
 'women are singing on a show' 'women sing on a tv show'
 'young girls engaged in dancing']",MSR-VTT,0,https://www.youtube.com/watch?v=LAq_T0RZikA,73.95,87.7,6739,data/MSR-VTT/video6739.mp4
video975,video975.mp4,"['a couple guys were checking out the tires on a vecile'
 'a guy is talking about his car tires' 'a guy talking about a car'
 'a guy talks about a jeep cherokee' 'a jeep cherokee review'
 'a man is describing an suv' 'a man is giving a review of a car'
 'a man is talking about a jeep cherokee' 'a man is walking around a car'
 'a man looks at and review a jeep' 'a man talking about a jeep cherokee'
 'a man talking about a silver cherokee'
 'a man talks about his jeep cherokee'
 'a news reporter on location at a scene'
 'guy takes a look at the new jeep cherokee' 'guy talking about a car'
 'man introduces new car' 'this is car review'
 'a couple guys were checking out the tires on a vecile'
 'a man is describing an suv']",MSR-VTT,9,https://www.youtube.com/watch?v=LOqkGukFVj8,3.88,21.28,975,data/MSR-VTT/video975.mp4
video143,video143.mp4,"['a female giving a hair styling tutorial'
 'a hair tutorial on conditioning' 'a person is conditioning her hair'
 'a video about washing hair'
 'a woman applies conditioner to her hair after saturating it'
 'a woman brushes her hair' 'a woman brushing her hair'
 'a woman explains how to comb conditioner through hair'
 'a woman is combing her hair' 'a woman is combing her hair'
 'a woman is demonstrating proper conditioner use'
 'a woman is showing how to properly use hair conditioner'
 'a woman puts conditioner in her hair and then combs it'
 'a woman showing off her beauty products'
 'a woman shows how to fix your hair' 'a women showing hair style'
 'a young woman washing and combing her hair'
 'four young girls are sitting and laughing'
 'instructions for preparing long hair' 'woman brushing her hair']",MSR-VTT,10,https://www.youtube.com/watch?v=ppa0vDSrPY4,102.98,113.53,143,data/MSR-VTT/video143.mp4
video5587,video5587.mp4,"['a kid drives a truck in a video game' 'a man is playing a video game'
 'a man narrates while he drives a truck in a video game'
 'a man playing a trucker game'
 'a man plays a big-rig videogame while commentating'
 'a man plays a video game' 'a man reviews gameplay driving a truck'
 'a person is playing a game with a truck'
 'a person is playing a video game'
 'a player comments on navigation of his truck'
 'a player in a game is driving a semi truck'
 'a truck is driving between two mountains'
 'a truck is going through a gorge'
 'a truck is going through a tough road'
 'a video game player is driving a truck'
 'game play footage of a trucking game' 'someone is playing a game'
 'the truck drives through the canyon' 'the truck drove up'
 'game play footage of a trucking game']",MSR-VTT,9,https://www.youtube.com/watch?v=90GOQxI_7Zc,717.1,728.64,5587,data/MSR-VTT/video5587.mp4
video2741,video2741.mp4,"['there is a man with cooling glass smiling on the floor'
 'a green subscribe sign on a black backgound has a flashing click on it'
 'a video asking to click to subscribe to blllk friday'
 'a cartoon boy wearing glasses keeping four corners diamond'
 'a cartoon of a black man with glasses telling the audiance to subscribe to his show'
 'i see colorful pictures and special music effects'
 'a cartoon graphic is talking about a made up holiday called black friday'
 'a drawing of a mans face is shown followed by the words subscribe'
 'a typical click to subscribe visual sequence used in many promotional videos'
 'a man with large glasses and the words click subscribe written in green'
 'person is drawing something and describing his channel'
 'person is presenting a video and why to subscribe on his channel'
 'person is talking about the videos in his online channel'
 'advertisement asking for subscriptions to online channel billk'
 'the mocking presentation of subscribe for everything in the different sites of internet'
 'a animated black guy with glasses and than words asking people to subscribe'
 'an animation of a video asking viewers to click and subscribe'
 'multi-colored text flashes over white and black backgrounds while percussive electronic music plays'
 'this video contains a graphic on a youtube subscription'
 'an animated black man is wearing some white glasses']",MSR-VTT,8,https://www.youtube.com/watch?v=uJ4RymqU8Kg,154.91,165.75,2741,data/MSR-VTT/video2741.mp4
video4432,video4432.mp4,"['a group dancing and singing a song routine on the beach'
 'a group of people are dancing and singing while waving their towels around'
 'a group of people are dancing on the beach'
 'a group of people dance on the beach'
 'a group of people dancing with towels'
 'a group of people is dancing and singing'
 'a group of people performing a song'
 'a group of people sing and dance on the beach'
 'a large group of men and woman dancing on the beach'
 'bikini beach dance party' 'groups are dancing near beach'
 'more people dancing towel dance' 'people are at the beach'
 'people are dancing and singing at the beach'
 'people are dancing on beach' 'people are dancing on the beach'
 'people dancing on the beach' 'persons exercising with towels'
 'some people are dancing on the beach'
 'a group of people are dancing and singing while waving their towels around']",MSR-VTT,0,https://www.youtube.com/watch?v=5tiiy6KFKTc,76.17,86.76,4432,data/MSR-VTT/video4432.mp4
video1270,video1270.mp4,"['a woman pouring sauce and chili powder on vegetables in a pan'
 'a woman is stir-frying vegetables and adds ingredients including chili powder and salt'
 'a woman adding ingredients into a pot on the stove in the kitchen'
 'a woman giving instructions on how to prepare a dish in a wok'
 'a woman in a kitchen adds ingredients into her pan and stirs them'
 'a lady cooking sauce and vegatables in a pan with salt'
 'a red sauce and powder added to a bunch of vegetables cooking in a black pan and being stirred with a black spatula'
 'someone is cooking in a red pot on a one burner stove'
 'a colourful vegetable dish is being cooked in a wide black pan'
 'a woman is adding a ingredient in to the pan'
 'a woman is cooking a dish with a tomato puree'
 'a person is mixing vegetables with sauce and seasoning in a skillet'
 'a person preparing a recipe in her kitchen suggest to add tomato puree red chili powder and then salt to the already cooking ingredients'
 'in a frying pan a cook adds a red sauce and chili powder to vegetables cooking in kitchen'
 'man is mixing the ingredients and adding some tomato sauce'
 'a woman pours in some sauce and powder into a pan filled with veggies'
 'a chef adds ingredients to stove top creation while stirring'
 'a person doing a cooking show and mixing the ingredients for the recipe'
 'ingredients are poured into a frying pan stirred on a hot stove'
 'the woman stirs the spices into the food she is cooking in the skillet']",MSR-VTT,16,https://www.youtube.com/watch?v=VHXIWFoxJTg,176.35,190.88,1270,data/MSR-VTT/video1270.mp4
video1939,video1939.mp4,"['a close up of hands playing a piano' 'a man is playing the piano'
 'a man is playing the piano' 'a man playing green sleeves on the piano'
 'a man plays piano' 'a person is explaining something'
 'a person is playing a piano' 'a person playing a piano'
 'a person playing a piano' 'a person plays a piano'
 'a person plays piano' 'person playing a piano'
 'person playing the piano' 'someone is playing music on piano'
 'someone is playing the piano' 'someone playing the piano'
 'someone plays piano' 'the person plays a piano'
 'a man playing green sleeves on the piano' 'person playing a piano']",MSR-VTT,0,https://www.youtube.com/watch?v=3AnGO4DxhbE,0.0,30.0,1939,data/MSR-VTT/video1939.mp4
video983,video983.mp4,"['a band is performing'
 'a band is performing a rock band in an excessive amount of water'
 'a band is performing a song' 'a band plays a song' 'a band plays a song'
 'a band plays music playing guitar and singing'
 'a band preforming a song in a music video' 'a boy singing a song'
 'a man is singing a song and another man is playing guitar in stage'
 'a man is singing into a mic while the rest of the band plays their instruments'
 'a man is singing' 'a man preforms a song on stage'
 'a music video shows a rock band performing'
 'a person singing while the band plays behind him'
 'a rock band preforming a song' 'band performs a song'
 'band sings angsty song' 'girls and guys are singing and dancing'
 'the drummer splashes water when he hits his symbols'
 'girls and guys are singing and dancing']",MSR-VTT,0,https://www.youtube.com/watch?v=_UwWYtLWEZg,136.14,146.19,983,data/MSR-VTT/video983.mp4
video6058,video6058.mp4,"['a man driving a red colour open car over the bridge and suddenly he took a reverse'
 'a red coloured open car is running on the brige'
 'red jeep is moving near the sea side slowly'
 'there is a man riding a car to the sea shore'
 'aa red car is moving on the road then it comes to a dock'
 'aa red car is moving on the road then it comes to a dock'
 'a red truck drives by the ocean with a man in jeans and a brown shirt driving it'
 'a person is riding a red car on a road near sea shore'
 'a red truck is reversing down the road at high speeds the man exits the truck'
 'the man is driving the red car backwards near the sea'
 'in bbc broadcast the truck running front and reverse in seaside'
 'a man driving a truck backs into a walk and is driving backwards down a road'
 'a red pickup truck is driving down a pier backward'
 'a man drives his red turck into the desert plains'
 'a man is driving carelessly in a red truck'
 'a car red colour moving on roadand man beside'
 'a car is hitting the wall'
 'the red truck appeared to have a smashed up front fender'
 'a red truck is driving around different parts of a city'
 'a person is driving a mini truck on beach side']",MSR-VTT,9,https://www.youtube.com/watch?v=xnWKz7Cthkk,89.85,108.57,6058,data/MSR-VTT/video6058.mp4
